Date of Birth,Gender,Location,Subscription Plan,Payment Information,Renewal Status,Usage Frequency,Purchase History,Favorite Genres,Devices Used,Engagement Metrics,Feedback/Ratings,Customer Support Interactions,Duration,Age,Age Group,Engagement Metrics Numeric,Usage Frequency Numeric,Purchase History Numeric
1943-05-30,Male,Smithstad,Monthly,Visa,Auto-renew,Frequent,Electronics,Romance,Smartphone,Medium,3.2,0,365 days,81,61+,1,1.0,1
1992-06-03,Male,Rhodesborough,Monthly,Amex,Manual,Occasional,Electronics,Sci-Fi,Smartphone,Low,4.4,2,365 days,32,26-35,0,,1
1987-02-22,Male,West Christopherburgh,Annual,Visa,Manual,Occasional,Books,Comedy,Smart TV,Medium,3.9,4,365 days,37,36-45,1,,0
1938-11-22,Female,Meltonburgh,Monthly,Visa,Auto-renew,Regular,Clothing,Sci-Fi,Smartphone,High,4.2,3,365 days,86,61+,2,0.0,2
1942-10-16,Female,Tylerberg,Annual,Amex,Auto-renew,Frequent,Electronics,Action,Smart TV,High,4.5,4,365 days,82,61+,2,1.0,1
1940-06-11,Male,Jacquelinemouth,Annual,Amex,Manual,Frequent,Books,Action,Smart TV,Low,3.7,4,365 days,84,61+,0,1.0,0
1973-02-06,Female,Blakebury,Monthly,Visa,Manual,Frequent,Books,Romance,Smart TV,Low,4.1,2,365 days,51,46-55,0,1.0,0
1954-11-10,Female,Bairdhaven,Annual,Amex,Auto-renew,Occasional,Clothing,Action,Smart TV,High,4.9,5,365 days,70,61+,2,,2
1944-09-22,Male,Ayersview,Annual,Mastercard,Manual,Frequent,Electronics,Sci-Fi,Smartphone,High,3.5,2,365 days,80,61+,2,1.0,1
1989-02-23,Male,Jayside,Annual,Amex,Auto-renew,Occasional,Clothing,Romance,Smartphone,High,4.9,10,365 days,35,36-45,2,,2
1954-12-03,Female,South Juliashire,Monthly,Amex,Manual,Frequent,Books,Documentary,Smartphone,Low,4.3,0,365 days,70,61+,0,1.0,0
1988-05-16,Male,Aprilfort,Annual,Mastercard,Auto-renew,Occasional,Books,Comedy,Smartphone,Medium,4.5,6,365 days,36,36-45,1,,0
1994-11-10,Female,Lake Lisaport,Monthly,Amex,Manual,Frequent,Clothing,Action,Tablet,High,3.6,8,365 days,30,26-35,2,1.0,2
1964-10-25,Male,Michelleport,Monthly,Visa,Auto-renew,Occasional,Books,Romance,Smart TV,Low,4.9,2,365 days,60,61+,0,,0
1964-05-25,Male,Brianview,Annual,Mastercard,Auto-renew,Occasional,Clothing,Sci-Fi,Smartphone,High,4.7,3,365 days,60,61+,2,,2
1936-10-02,Male,West Robert,Monthly,Mastercard,Auto-renew,Regular,Books,Sci-Fi,Smartphone,High,4.2,3,365 days,88,61+,2,0.0,0
1976-01-01,Male,Powersland,Annual,Visa,Manual,Regular,Electronics,Documentary,Tablet,Medium,3.1,4,365 days,48,46-55,1,0.0,1
1943-01-17,Female,Benjaminbury,Annual,Amex,Manual,Frequent,Books,Romance,Tablet,Medium,4.6,0,365 days,81,61+,1,1.0,0
1955-08-28,Male,Wongview,Annual,Mastercard,Manual,Regular,Books,Drama,Smartphone,Low,3.3,0,365 days,69,61+,0,0.0,0
1974-04-07,Male,Moorebury,Annual,Amex,Manual,Frequent,Books,Sci-Fi,Tablet,Low,3.8,10,365 days,50,46-55,0,1.0,0
1969-12-07,Female,Patelview,Annual,Visa,Manual,Occasional,Clothing,Documentary,Smartphone,Low,3.9,4,365 days,55,56-60,0,,2
1959-08-10,Female,Westton,Monthly,Visa,Auto-renew,Regular,Books,Comedy,Smart TV,High,3.2,8,365 days,65,61+,2,0.0,0
2005-07-01,Female,East Manuelland,Annual,Amex,Manual,Regular,Books,Comedy,Smart TV,Medium,4.3,10,365 days,19,18-25,1,0.0,0
1953-03-17,Male,Christophertown,Monthly,Mastercard,Manual,Frequent,Electronics,Horror,Smartphone,Medium,3.1,8,365 days,71,61+,1,1.0,1
2005-12-17,Female,Henrytown,Annual,Mastercard,Auto-renew,Occasional,Clothing,Drama,Smartphone,Medium,3.8,0,365 days,19,18-25,1,,2
1996-05-18,Male,Port Nancymouth,Monthly,Mastercard,Auto-renew,Regular,Electronics,Action,Tablet,Medium,3.6,8,365 days,28,26-35,1,0.0,1
1937-03-16,Female,Sawyerchester,Monthly,Visa,Manual,Frequent,Clothing,Documentary,Smartphone,Low,3.5,3,365 days,87,61+,0,1.0,2
1953-12-18,Male,Toddburgh,Annual,Amex,Manual,Regular,Electronics,Documentary,Smartphone,Low,4.0,8,365 days,71,61+,0,0.0,1
1988-03-19,Male,Hortonville,Monthly,Mastercard,Auto-renew,Regular,Books,Drama,Smartphone,Low,3.3,3,365 days,36,36-45,0,0.0,0
1962-02-05,Female,Port Tina,Annual,Visa,Auto-renew,Occasional,Books,Drama,Smartphone,Low,4.1,0,365 days,62,61+,0,,0
1957-03-21,Female,Martinezville,Annual,Mastercard,Manual,Regular,Clothing,Action,Tablet,Medium,4.4,0,365 days,67,61+,1,0.0,2
1993-02-14,Female,Aprilland,Monthly,Amex,Manual,Occasional,Clothing,Action,Smartphone,High,3.2,9,365 days,31,26-35,2,,2
1939-11-07,Female,Jessicaborough,Monthly,Amex,Auto-renew,Regular,Electronics,Horror,Smartphone,Medium,4.0,5,365 days,85,61+,1,0.0,1
1935-08-22,Female,Kentburgh,Annual,Mastercard,Manual,Occasional,Clothing,Action,Smartphone,Medium,3.7,2,365 days,89,61+,1,,2
1945-08-07,Male,West Meganmouth,Annual,Mastercard,Auto-renew,Frequent,Electronics,Romance,Tablet,Low,3.5,8,365 days,79,61+,0,1.0,1
1998-08-14,Female,East Nicholasmouth,Annual,Amex,Auto-renew,Occasional,Clothing,Drama,Smartphone,Medium,4.4,2,365 days,26,26-35,1,,2
1945-03-15,Male,North Kristen,Monthly,Amex,Auto-renew,Regular,Clothing,Documentary,Tablet,High,4.6,9,365 days,79,61+,2,0.0,2
1979-04-06,Male,Glassview,Annual,Amex,Auto-renew,Occasional,Books,Comedy,Smartphone,Low,4.9,5,365 days,45,46-55,0,,0
1960-10-26,Female,North James,Monthly,Amex,Manual,Occasional,Electronics,Horror,Smart TV,High,4.2,5,365 days,64,61+,2,,1
1980-12-01,Male,Riveratown,Monthly,Visa,Auto-renew,Frequent,Clothing,Sci-Fi,Smartphone,Medium,4.9,1,365 days,44,36-45,1,1.0,2
1996-10-26,Male,Longhaven,Monthly,Mastercard,Manual,Frequent,Books,Action,Smart TV,Medium,3.7,2,365 days,28,26-35,1,1.0,0
1968-06-30,Male,Harrisfort,Annual,Mastercard,Auto-renew,Occasional,Clothing,Sci-Fi,Tablet,Low,3.3,3,365 days,56,56-60,0,,2
1952-11-04,Male,Williamsview,Annual,Amex,Auto-renew,Occasional,Electronics,Documentary,Smart TV,Medium,4.8,0,365 days,72,61+,1,,1
1981-08-21,Male,Andersonville,Annual,Mastercard,Manual,Occasional,Clothing,Drama,Smartphone,Medium,3.2,10,365 days,43,36-45,1,,2
1945-02-07,Male,West Teresa,Annual,Visa,Auto-renew,Regular,Books,Action,Tablet,Medium,3.6,8,365 days,79,61+,1,0.0,0
1976-10-18,Male,Kellyburgh,Annual,Amex,Manual,Occasional,Clothing,Horror,Tablet,Medium,3.7,7,365 days,48,46-55,1,,2
1975-12-19,Male,West Jeremy,Annual,Visa,Manual,Regular,Books,Romance,Tablet,Medium,4.3,10,365 days,49,46-55,1,0.0,0
1987-06-08,Male,Lake Yvette,Monthly,Mastercard,Auto-renew,Regular,Books,Comedy,Tablet,Medium,4.7,8,365 days,37,36-45,1,0.0,0
1945-03-27,Male,East Christopher,Monthly,Visa,Auto-renew,Occasional,Clothing,Drama,Smart TV,High,4.0,7,365 days,79,61+,2,,2
1941-06-18,Female,North Darrell,Monthly,Visa,Auto-renew,Regular,Clothing,Horror,Tablet,Low,4.0,3,365 days,83,61+,0,0.0,2
1972-12-28,Male,West Jeffrey,Annual,Visa,Manual,Occasional,Books,Comedy,Smart TV,Low,3.7,9,365 days,52,46-55,0,,0
1979-03-10,Male,West Josechester,Annual,Amex,Manual,Regular,Electronics,Drama,Tablet,Medium,4.3,7,365 days,45,46-55,1,0.0,1
2004-09-11,Male,East Jamesstad,Annual,Amex,Manual,Frequent,Clothing,Sci-Fi,Tablet,Medium,3.4,1,365 days,20,18-25,1,1.0,2
1982-08-12,Female,Port Philipchester,Annual,Mastercard,Auto-renew,Frequent,Books,Action,Tablet,Low,4.3,2,365 days,42,36-45,0,1.0,0
1936-01-07,Male,New Jamesberg,Annual,Amex,Auto-renew,Occasional,Clothing,Action,Tablet,Low,3.2,3,365 days,88,61+,0,,2
1974-06-30,Male,North Alec,Annual,Mastercard,Auto-renew,Occasional,Electronics,Sci-Fi,Smartphone,Medium,4.0,0,365 days,50,46-55,1,,1
1966-05-02,Female,New John,Monthly,Amex,Auto-renew,Regular,Clothing,Comedy,Tablet,High,3.5,6,365 days,58,56-60,2,0.0,2
1973-02-01,Male,West Stephanieberg,Monthly,Amex,Auto-renew,Occasional,Clothing,Documentary,Smartphone,High,4.2,7,365 days,51,46-55,2,,2
1985-10-16,Female,Bethanyshire,Monthly,Mastercard,Manual,Frequent,Books,Action,Smartphone,High,3.7,8,365 days,39,36-45,2,1.0,0
1958-08-21,Male,New Jerry,Annual,Amex,Manual,Regular,Books,Comedy,Smartphone,Medium,3.9,1,365 days,66,61+,1,0.0,0
1959-06-26,Male,Williamsview,Annual,Visa,Manual,Frequent,Electronics,Sci-Fi,Smart TV,High,5.0,0,365 days,65,61+,2,1.0,1
1948-07-18,Female,North Sean,Annual,Mastercard,Manual,Occasional,Electronics,Action,Tablet,Low,3.4,4,365 days,76,61+,0,,1
1971-09-03,Female,Elizabethfurt,Monthly,Mastercard,Auto-renew,Occasional,Books,Action,Smartphone,High,5.0,3,365 days,53,46-55,2,,0
2001-01-25,Male,Port Marcus,Monthly,Visa,Manual,Regular,Clothing,Romance,Tablet,Medium,4.8,5,365 days,23,18-25,1,0.0,2
1977-05-08,Male,East Michelle,Annual,Amex,Manual,Frequent,Electronics,Drama,Smartphone,High,4.8,9,365 days,47,46-55,2,1.0,1
1983-03-29,Male,Meganland,Annual,Visa,Auto-renew,Occasional,Books,Documentary,Smart TV,Medium,3.4,0,365 days,41,36-45,1,,0
1952-11-05,Female,South William,Monthly,Visa,Manual,Frequent,Clothing,Action,Tablet,Medium,4.9,5,365 days,72,61+,1,1.0,2
2006-01-11,Male,Shawnshire,Annual,Visa,Manual,Frequent,Electronics,Drama,Smart TV,Medium,4.6,9,365 days,18,18-25,1,1.0,1
1995-04-07,Male,East William,Annual,Amex,Manual,Regular,Clothing,Comedy,Smart TV,Medium,3.7,6,365 days,29,26-35,1,0.0,2
1963-06-04,Male,North Stevenshire,Monthly,Mastercard,Auto-renew,Frequent,Books,Action,Tablet,Medium,4.8,9,365 days,61,61+,1,1.0,0
1991-12-30,Female,Meganfort,Monthly,Amex,Manual,Occasional,Electronics,Horror,Smart TV,High,3.3,6,365 days,33,26-35,2,,1
1949-02-16,Male,Matthewfort,Monthly,Visa,Auto-renew,Regular,Electronics,Sci-Fi,Smart TV,Medium,3.8,8,365 days,75,61+,1,0.0,1
1961-10-20,Male,Jessicaburgh,Annual,Mastercard,Manual,Frequent,Electronics,Action,Smartphone,Medium,4.1,3,365 days,63,61+,1,1.0,1
1982-12-26,Male,Romeroside,Monthly,Visa,Auto-renew,Occasional,Electronics,Sci-Fi,Smart TV,Medium,3.6,1,365 days,42,36-45,1,,1
1991-10-09,Female,Lake Angela,Annual,Amex,Auto-renew,Regular,Electronics,Drama,Tablet,High,3.1,2,365 days,33,26-35,2,0.0,1
1991-07-03,Female,New Heather,Monthly,Mastercard,Manual,Occasional,Clothing,Drama,Smartphone,Low,4.6,2,365 days,33,26-35,0,,2
1967-06-19,Female,Matthewmouth,Monthly,Mastercard,Manual,Occasional,Books,Romance,Smartphone,Medium,3.0,5,365 days,57,56-60,1,,0
2005-07-12,Female,Olsonburgh,Annual,Mastercard,Auto-renew,Occasional,Electronics,Documentary,Smart TV,Low,4.4,3,365 days,19,18-25,0,,1
1945-11-27,Male,East Scott,Monthly,Amex,Manual,Frequent,Books,Horror,Tablet,Medium,3.7,8,365 days,79,61+,1,1.0,0
1945-03-13,Male,Port Kevinshire,Annual,Visa,Manual,Occasional,Books,Romance,Smart TV,High,3.1,1,365 days,79,61+,2,,0
1936-03-21,Female,East Jacquelinehaven,Annual,Visa,Manual,Regular,Clothing,Drama,Smart TV,Medium,4.5,0,365 days,88,61+,1,0.0,2
1993-04-08,Male,Port Debbie,Monthly,Visa,Manual,Occasional,Books,Action,Smart TV,Medium,3.4,3,365 days,31,26-35,1,,0
2002-04-27,Male,Jeffreyfort,Monthly,Mastercard,Auto-renew,Regular,Books,Action,Tablet,Low,4.8,6,365 days,22,18-25,0,0.0,0
1973-09-28,Male,Lamberttown,Annual,Mastercard,Manual,Occasional,Clothing,Comedy,Smart TV,Medium,4.9,5,365 days,51,46-55,1,,2
1975-05-27,Female,West Margaretfort,Monthly,Amex,Auto-renew,Regular,Electronics,Horror,Smart TV,High,4.7,5,365 days,49,46-55,2,0.0,1
1940-06-09,Male,Jacksonton,Annual,Amex,Manual,Frequent,Electronics,Drama,Smart TV,Low,4.1,4,365 days,84,61+,0,1.0,1
1998-12-22,Female,North Vickiport,Monthly,Visa,Auto-renew,Occasional,Books,Horror,Smartphone,Low,4.1,0,365 days,26,26-35,0,,0
1978-06-17,Female,Lefort,Annual,Visa,Manual,Regular,Books,Comedy,Smartphone,Medium,4.3,9,365 days,46,46-55,1,0.0,0
1959-08-20,Female,North Jose,Annual,Amex,Manual,Regular,Books,Sci-Fi,Smartphone,Low,4.3,1,365 days,65,61+,0,0.0,0
1946-04-09,Female,Port Adamburgh,Monthly,Amex,Manual,Occasional,Clothing,Sci-Fi,Tablet,Medium,3.7,6,365 days,78,61+,1,,2
1935-04-03,Male,Lewisview,Monthly,Mastercard,Auto-renew,Regular,Books,Romance,Tablet,Medium,3.5,8,365 days,89,61+,1,0.0,0
1957-08-11,Female,East Robertshire,Annual,Amex,Manual,Occasional,Electronics,Comedy,Smartphone,Medium,3.2,9,365 days,67,61+,1,,1
1982-09-30,Female,East Shaneburgh,Monthly,Amex,Auto-renew,Occasional,Electronics,Documentary,Smartphone,High,4.6,9,365 days,42,36-45,2,,1
1984-01-12,Male,Lake Rachel,Monthly,Amex,Auto-renew,Frequent,Electronics,Drama,Tablet,Low,3.4,8,365 days,40,36-45,0,1.0,1
1940-11-08,Male,Caseymouth,Annual,Visa,Auto-renew,Frequent,Clothing,Comedy,Tablet,Medium,4.6,2,365 days,84,61+,1,1.0,2
1941-03-18,Male,West Joy,Monthly,Mastercard,Auto-renew,Frequent,Books,Horror,Smart TV,Medium,4.9,9,365 days,83,61+,1,1.0,0
1956-02-12,Female,New Danielle,Monthly,Visa,Auto-renew,Occasional,Electronics,Action,Smart TV,Medium,3.3,6,365 days,68,61+,1,,1
1958-08-08,Male,East Robert,Monthly,Amex,Auto-renew,Occasional,Books,Romance,Smart TV,High,4.5,6,365 days,66,61+,2,,0
1969-06-24,Female,Rebeccatown,Monthly,Amex,Manual,Regular,Electronics,Action,Smart TV,Low,4.7,8,365 days,55,56-60,0,0.0,1
1983-03-29,Male,Murrayland,Annual,Visa,Auto-renew,Occasional,Books,Comedy,Smart TV,Low,4.0,1,365 days,41,36-45,0,,0
1942-09-23,Female,Lewisborough,Monthly,Amex,Manual,Regular,Books,Comedy,Tablet,Medium,4.1,5,365 days,82,61+,1,0.0,0
1962-12-03,Female,Dawnland,Annual,Visa,Manual,Frequent,Books,Action,Tablet,Medium,4.2,3,365 days,62,61+,1,1.0,0
1973-07-27,Male,Carolside,Monthly,Amex,Manual,Regular,Clothing,Action,Tablet,Medium,4.8,6,365 days,51,46-55,1,0.0,2
2001-06-26,Female,Turnerview,Monthly,Mastercard,Auto-renew,Frequent,Books,Comedy,Smart TV,Low,4.6,8,365 days,23,18-25,0,1.0,0
1937-05-10,Male,Kennethtown,Annual,Mastercard,Manual,Regular,Books,Sci-Fi,Smart TV,Low,3.5,6,365 days,87,61+,0,0.0,0
1956-08-31,Female,East Maria,Annual,Mastercard,Manual,Occasional,Clothing,Documentary,Smartphone,Low,4.4,8,365 days,68,61+,0,,2
1964-05-29,Male,South Samantha,Annual,Mastercard,Auto-renew,Regular,Electronics,Comedy,Smartphone,Medium,3.0,2,365 days,60,61+,1,0.0,1
1967-07-27,Male,South Tonyland,Monthly,Visa,Auto-renew,Frequent,Electronics,Horror,Smart TV,Low,3.1,2,365 days,57,56-60,0,1.0,1
1960-08-03,Male,North Claudia,Annual,Mastercard,Auto-renew,Regular,Clothing,Sci-Fi,Tablet,High,3.5,3,365 days,64,61+,2,0.0,2
1992-07-06,Male,Lake Michelle,Annual,Amex,Manual,Occasional,Electronics,Action,Tablet,Low,3.0,6,365 days,32,26-35,0,,1
1941-04-06,Female,Lake Amyberg,Monthly,Mastercard,Auto-renew,Frequent,Books,Horror,Tablet,Medium,3.3,0,365 days,83,61+,1,1.0,0
1949-08-28,Male,Lake Angelaside,Annual,Mastercard,Auto-renew,Occasional,Books,Comedy,Smart TV,Low,3.9,5,365 days,75,61+,0,,0
1979-09-20,Male,Amandaburgh,Annual,Mastercard,Manual,Regular,Electronics,Documentary,Smart TV,Medium,4.2,9,365 days,45,46-55,1,0.0,1
1973-04-14,Male,Ryanfurt,Annual,Visa,Manual,Regular,Clothing,Action,Smart TV,High,3.5,0,365 days,51,46-55,2,0.0,2
1941-10-19,Male,Norrishaven,Annual,Mastercard,Auto-renew,Regular,Books,Action,Smart TV,High,4.3,0,365 days,83,61+,2,0.0,0
1990-09-08,Female,Lake Miguelburgh,Annual,Amex,Auto-renew,Occasional,Electronics,Drama,Tablet,Low,4.9,6,365 days,34,26-35,0,,1
1974-11-02,Male,Mckeemouth,Monthly,Amex,Manual,Frequent,Clothing,Drama,Smart TV,Low,3.1,5,365 days,50,46-55,0,1.0,2
2001-11-28,Female,Pearsonfurt,Annual,Visa,Manual,Regular,Clothing,Horror,Smart TV,Low,3.9,10,365 days,23,18-25,0,0.0,2
1939-11-28,Male,Danielleland,Monthly,Visa,Auto-renew,Frequent,Clothing,Sci-Fi,Smartphone,Low,3.9,1,365 days,85,61+,0,1.0,2
2004-08-20,Female,West Carolyn,Annual,Mastercard,Manual,Frequent,Electronics,Documentary,Tablet,Low,3.7,3,365 days,20,18-25,0,1.0,1
1986-07-16,Female,Lake Carolineburgh,Monthly,Amex,Manual,Frequent,Clothing,Comedy,Smartphone,Medium,4.1,9,365 days,38,36-45,1,1.0,2
1978-06-26,Male,Cynthiafort,Annual,Visa,Manual,Regular,Clothing,Action,Smartphone,Medium,3.5,2,365 days,46,46-55,1,0.0,2
1971-08-30,Male,Port Jonathan,Monthly,Amex,Manual,Occasional,Clothing,Comedy,Smartphone,High,3.4,10,365 days,53,46-55,2,,2
1957-10-15,Male,Angelafurt,Monthly,Amex,Manual,Regular,Clothing,Romance,Smart TV,Medium,3.1,4,365 days,67,61+,1,0.0,2
1948-07-16,Female,Amandashire,Monthly,Visa,Manual,Regular,Clothing,Drama,Smart TV,High,3.3,0,365 days,76,61+,2,0.0,2
2001-08-22,Male,Lake Alicia,Annual,Mastercard,Manual,Regular,Clothing,Documentary,Smart TV,Low,3.8,0,365 days,23,18-25,0,0.0,2
1967-03-13,Female,Logantown,Annual,Visa,Manual,Frequent,Electronics,Horror,Smartphone,Medium,4.5,8,365 days,57,56-60,1,1.0,1
1935-02-19,Male,West Johnathanview,Annual,Mastercard,Auto-renew,Frequent,Clothing,Documentary,Smart TV,Low,4.3,3,365 days,89,61+,0,1.0,2
1939-10-04,Male,Robertton,Monthly,Amex,Manual,Occasional,Books,Action,Tablet,Medium,3.0,8,365 days,85,61+,1,,0
1988-10-17,Male,Lake Lauraville,Annual,Amex,Auto-renew,Regular,Clothing,Horror,Smartphone,Low,3.6,1,365 days,36,36-45,0,0.0,2
1960-06-05,Female,Richardsonville,Monthly,Amex,Auto-renew,Frequent,Books,Sci-Fi,Tablet,Medium,3.4,5,365 days,64,61+,1,1.0,0
1941-05-15,Female,Briggsfurt,Monthly,Amex,Manual,Regular,Books,Horror,Smartphone,High,4.0,9,365 days,83,61+,2,0.0,0
1956-11-24,Male,Veronicamouth,Annual,Mastercard,Manual,Frequent,Electronics,Comedy,Smartphone,Medium,4.5,9,365 days,68,61+,1,1.0,1
1970-05-11,Male,Paulbury,Monthly,Visa,Auto-renew,Regular,Books,Romance,Tablet,Medium,3.1,7,365 days,54,46-55,1,0.0,0
1941-04-15,Female,Cruzchester,Monthly,Mastercard,Manual,Regular,Clothing,Documentary,Tablet,Medium,5.0,7,365 days,83,61+,1,0.0,2
1971-09-13,Male,Johnsonmouth,Monthly,Mastercard,Manual,Frequent,Electronics,Documentary,Smartphone,Low,3.6,3,365 days,53,46-55,0,1.0,1
1974-03-21,Male,New Wendyside,Monthly,Amex,Manual,Regular,Clothing,Romance,Smartphone,High,4.5,1,365 days,50,46-55,2,0.0,2
2000-05-25,Female,Moranview,Annual,Visa,Manual,Occasional,Books,Documentary,Smart TV,Low,4.4,1,365 days,24,18-25,0,,0
2002-08-14,Female,Jacobstad,Annual,Mastercard,Manual,Regular,Books,Comedy,Smart TV,High,3.7,0,365 days,22,18-25,2,0.0,0
1964-12-27,Female,Port Angela,Monthly,Mastercard,Manual,Frequent,Electronics,Drama,Smartphone,High,3.8,7,365 days,60,61+,2,1.0,1
1933-11-30,Male,West Rachel,Monthly,Mastercard,Manual,Occasional,Electronics,Romance,Smart TV,Medium,4.2,1,365 days,91,61+,1,,1
1966-08-04,Female,Seantown,Monthly,Amex,Manual,Occasional,Clothing,Sci-Fi,Tablet,High,4.0,10,365 days,58,56-60,2,,2
1960-02-19,Female,Laurieshire,Annual,Visa,Manual,Regular,Clothing,Drama,Smart TV,Medium,3.5,3,365 days,64,61+,1,0.0,2
1963-02-01,Male,Lake Anna,Monthly,Visa,Auto-renew,Regular,Books,Action,Smartphone,Medium,4.3,1,365 days,61,61+,1,0.0,0
1948-12-14,Male,South Jennifermouth,Monthly,Amex,Auto-renew,Regular,Books,Documentary,Smart TV,High,3.7,0,365 days,76,61+,2,0.0,0
1973-01-14,Female,Michaelborough,Annual,Visa,Manual,Occasional,Books,Action,Smart TV,High,3.6,0,365 days,51,46-55,2,,0
1991-07-18,Male,Robertfurt,Annual,Amex,Auto-renew,Occasional,Electronics,Sci-Fi,Smartphone,High,3.7,4,365 days,33,26-35,2,,1
1953-01-04,Female,Robertberg,Annual,Visa,Manual,Frequent,Electronics,Documentary,Tablet,Low,3.8,5,365 days,71,61+,0,1.0,1
1987-06-13,Male,West Lisa,Annual,Visa,Manual,Frequent,Clothing,Documentary,Tablet,Low,3.9,5,365 days,37,36-45,0,1.0,2
1939-11-13,Male,Owensberg,Monthly,Amex,Auto-renew,Regular,Books,Documentary,Smartphone,Low,4.5,7,365 days,85,61+,0,0.0,0
1937-11-03,Male,Lake Roymouth,Monthly,Amex,Manual,Frequent,Clothing,Drama,Smartphone,Low,4.1,9,365 days,87,61+,0,1.0,2
1969-10-13,Female,New Rodneymouth,Monthly,Mastercard,Manual,Occasional,Electronics,Horror,Tablet,High,4.9,4,365 days,55,56-60,2,,1
1997-05-11,Male,Zacharyview,Annual,Amex,Auto-renew,Occasional,Books,Comedy,Smart TV,High,3.5,6,365 days,27,26-35,2,,0
1939-03-27,Male,Mckayfurt,Annual,Mastercard,Auto-renew,Occasional,Books,Action,Tablet,Low,3.1,9,365 days,85,61+,0,,0
1947-05-28,Female,Lake Lisa,Monthly,Amex,Auto-renew,Regular,Clothing,Documentary,Smart TV,Low,3.2,10,365 days,77,61+,0,0.0,2
1952-06-11,Female,Morrisonmouth,Monthly,Mastercard,Auto-renew,Regular,Electronics,Action,Smart TV,Low,4.7,7,365 days,72,61+,0,0.0,1
1985-04-15,Male,Snyderchester,Monthly,Amex,Auto-renew,Frequent,Electronics,Comedy,Smartphone,Medium,3.1,10,365 days,39,36-45,1,1.0,1
1993-03-18,Male,Jayland,Annual,Amex,Manual,Occasional,Books,Action,Smartphone,Medium,3.6,6,365 days,31,26-35,1,,0
1987-10-13,Male,Brittneyfurt,Annual,Amex,Manual,Occasional,Clothing,Romance,Smartphone,Low,3.5,7,365 days,37,36-45,0,,2
1997-01-13,Male,East Andrew,Annual,Visa,Manual,Frequent,Clothing,Documentary,Tablet,Medium,3.4,1,365 days,27,26-35,1,1.0,2
1961-04-08,Female,East Jamesport,Annual,Mastercard,Auto-renew,Occasional,Clothing,Documentary,Tablet,Medium,3.3,1,365 days,63,61+,1,,2
1999-09-07,Male,East Melissa,Annual,Amex,Manual,Regular,Electronics,Romance,Smartphone,High,3.2,3,365 days,25,26-35,2,0.0,1
1973-09-29,Female,Port Heatherbury,Monthly,Amex,Manual,Occasional,Books,Romance,Smartphone,Low,3.7,8,365 days,51,46-55,0,,0
1970-09-25,Male,New Robinview,Monthly,Visa,Manual,Occasional,Electronics,Documentary,Smart TV,Low,4.8,4,365 days,54,46-55,0,,1
1992-08-06,Male,Maryborough,Annual,Visa,Manual,Occasional,Clothing,Sci-Fi,Tablet,Medium,4.4,4,365 days,32,26-35,1,,2
1937-05-21,Female,North Johnfort,Monthly,Mastercard,Manual,Occasional,Clothing,Comedy,Smartphone,Medium,3.9,8,365 days,87,61+,1,,2
1964-08-27,Male,Douglasfurt,Monthly,Amex,Auto-renew,Frequent,Clothing,Sci-Fi,Tablet,High,3.1,10,365 days,60,61+,2,1.0,2
1958-05-12,Male,Lake Erik,Monthly,Visa,Auto-renew,Occasional,Electronics,Action,Smart TV,High,3.8,10,365 days,66,61+,2,,1
1941-03-21,Female,Port Nicholas,Monthly,Amex,Auto-renew,Regular,Clothing,Romance,Smartphone,High,5.0,4,365 days,83,61+,2,0.0,2
1981-12-01,Female,Joshuaside,Annual,Visa,Auto-renew,Frequent,Clothing,Documentary,Smart TV,Medium,3.2,9,365 days,43,36-45,1,1.0,2
2004-04-05,Female,Phillipport,Annual,Mastercard,Auto-renew,Frequent,Electronics,Comedy,Tablet,Low,3.7,2,365 days,20,18-25,0,1.0,1
1973-10-14,Female,Stoneland,Monthly,Visa,Auto-renew,Occasional,Books,Horror,Smartphone,Low,4.3,5,365 days,51,46-55,0,,0
1982-09-04,Male,Jeffreyfurt,Monthly,Mastercard,Auto-renew,Frequent,Electronics,Romance,Smart TV,Low,4.8,10,365 days,42,36-45,0,1.0,1
1945-10-21,Female,Morganstad,Monthly,Visa,Auto-renew,Frequent,Books,Comedy,Smartphone,Medium,4.8,10,365 days,79,61+,1,1.0,0
1941-12-23,Female,South Lauraborough,Annual,Visa,Manual,Frequent,Electronics,Comedy,Smart TV,High,4.3,5,365 days,83,61+,2,1.0,1
1955-02-28,Male,Port John,Monthly,Amex,Auto-renew,Occasional,Electronics,Romance,Tablet,Medium,4.2,1,365 days,69,61+,1,,1
1935-04-22,Female,Turnermouth,Annual,Amex,Manual,Regular,Electronics,Romance,Smartphone,High,3.3,0,365 days,89,61+,2,0.0,1
1956-10-28,Female,South Loriside,Annual,Mastercard,Auto-renew,Frequent,Clothing,Comedy,Smartphone,Low,4.9,1,365 days,68,61+,0,1.0,2
1975-06-24,Male,Port Julieburgh,Annual,Amex,Manual,Frequent,Clothing,Action,Smart TV,Medium,3.3,5,365 days,49,46-55,1,1.0,2
1959-02-08,Female,Lake Tammyfort,Annual,Visa,Manual,Occasional,Clothing,Romance,Smart TV,Medium,4.1,10,365 days,65,61+,1,,2
2000-11-06,Male,Lake Darrell,Monthly,Mastercard,Manual,Frequent,Clothing,Horror,Smart TV,High,4.1,9,365 days,24,18-25,2,1.0,2
